"","Package","PackageDescription","Author.","Depends.","In.views.","Maintainer.","Published.","Version.","Imports.","LinkingTo.","Suggests.","SystemRequirements.","URL.","BugReports.","Enhances.","Reverse.depends.","Reverse.imports.","Reverse.suggests.","Reverse.linking.to.","Reverse.enhances."
"76","lme4","Fit linear and generalized linear mixed-effects models. The models and their components are represented using S4 classes and methods. The core computational algorithms are implemented using the 'Eigen' C++ library for numerical linear algebra and 'RcppEigen' ""glue"".","Douglas Bates [aut],
  Martin Maechler [aut],
  Ben Bolker [aut, cre],
  Steven Walker [aut],
  Rune Haubo Bojesen Christensen [ctb],
  Henrik Singmann [ctb],
  Bin Dai [ctb],
  Fabian Scheipl [ctb],
  Gabor Grothendieck [ctb],
  Peter Green [ctb]","R (≥ 3.2.0), Matrix (≥ 1.2-1), methods, stats","Bayesian, Econometrics, Environmetrics, OfficialStatistics, Psychometrics, SocialSciences, SpatioTemporal","Ben Bolker  <bbolker+lme4 at gmail.com>","2018-08-17","1.1-18-1","graphics, grid, splines, utils, parallel, MASS, lattice, nlme (≥ 3.1-123), minqa (≥ 1.1.15), nloptr (≥ 1.0.4)","Rcpp (≥ 0.10.5), RcppEigen","knitr, boot, PKPDmodels, MEMSS, testthat (≥ 0.8.1), ggplot2, mlmRev, optimx (≥ 2013.8.6), gamm4, pbkrtest, HSAUR2, numDeriv",NA,"https://github.com/lme4/lme4/ http://lme4.r-forge.r-project.org/","https://github.com/lme4/lme4/issues",NA,"abn, afex, agRee, aods3, ArfimaMLM, arm, bapred, BBRecapture, BClustLonG, blme, cAIC4, carcass, cgam, CLME, dfmeta, fishmethods, gamm4, GHap, glmertree, GLMMRR, gtheory, GWAF, influence.ME, JAGUAR, joineRmeta, JointModel, lmerTest, longpower, macc, MargCond, marked, MEMSS, merDeriv, merTools, Metatron, mixAK, MixRF, mlma, mlmRev, MultisiteMediation, mumm, mvMISE, nonrandom, pbkrtest, pedigreemm, predictmeans, prLogistic, robustBLME, robustlmm, sae, siland, simr, structree, swissMrP, WebPower, WeMix","ARTool, bayesammi, baystability, blmeco, blocksdesign, BradleyTerry2, BreedingSchemeLanguage, car, ciTools, clickR, climwin, clusteredinterference, clusterPower, CMatching, cpr, DClusterm, DHARMa, diagmeta, difR, doremi, eda4treeR, eefAnalytics, effects, embed, epr, ESTER, ez, faraway, fence, finalfit, fullfact, geex, glmmEP, glmmsr, glmmTMB, groupedstats, gvcR, HeritSeq, hmi, IMTest, inferference, intRvals, joineRML, jomo, JWileymisc, KenSyn, lmem.qtler, LMERConvenienceFunctions, lmmen, lmSupport, LSAmitR, MAGNAMWAR, mbest, MDMR, mediation, metamisc, metaplus, miceadds, micemd, MixedPsy, MixMAP, MLID, mlVAR, multiDimBio, MultiRR, MXM, neuropsychology, omics, OptimClassifier, pamm, PBImisc, pcgen, piecewiseSEM, Plasmode, PLmixed, powerbydesign, powerlmm, psycho, pubh, RBesT, refund, refund.shiny, reghelper, REndo, reproducer, RLRsim, rockchalk, rpql, rptR, RRreg, rstanarm, RVAideMemoire, RVFam, SensMixed, sjPlot, sjstats, skpr, smicd, SoyNAM, spacom, SPreFuGED, squid, stability, standardize, StroupGLMM, Surrogate, TcGSA, themetagenomics, tnam, treatSens, tukeytrend, userfriendlyscience, VCA, VetResearchLMM, warpMix, welchADF","AgreementInterval, agridat, AICcmodavg, ANOM, aod, auditor, AzureML, BayesFactor, BGData, BIFIEsurvey, brms, broom, broom.mixed, catdata, clubSandwich, codebook, DAAG, dlnm, doBy, DySeq, emmeans, Epi, expp, eyetrackingR, flexmix, gamair, ggeffects, ggstatsplot, glmulti, gmodels, hamlet, HLMdiag, hnp, HSAUR, HSAUR2, HSAUR3, huxtable, iccbeta, ICCbin, immer, irtrees, jtools, KFAS, konfound, kulife, kyotil, LAM, languageR, lava, lavaSearch2, likelihoodAsy, lmeresampler, lsmeans, lucid, margins, MARSS, MESS, meta, metafor, MethComp, mice, mitml, mixlm, multcomp, MuMIn, mztwinreg, NAM, NanoStringNorm, OnAge, OpenMx, ordinal, pan, pez, phia, polypoly, psych, Publish, purge, R2admb, r2glmm, RcmdrPlugin.NMBU, rmcorr, samplingDataCRT, SARP.compo, SASmixed, simglm, slim, spaMM, tableone, texreg, TripleR, TukeyC",NA,"memisc, papeR, prediction, stargazer"
"77","lmm","It implements Expectation/Conditional Maximization Either (ECME) and rapidly converging algorithms as well as Bayesian inference for linear mixed models, which is described in Schafer, J.L. (1998) ""Some improved procedures for linear mixed models"". Dept. of Statistics, The Pennsylvania State University.","Original by Joseph L. Schafer","R (≥ 2.0.0)","Bayesian, SocialSciences","Jing hua Zhao  <jinghuazhao at hotmail.com>","2018-06-30","1.2",NA,NA,NA,NA,"https://github.com/jinghuazhao/R",NA,NA,NA,NA,NA,NA,NA
"78","MasterBayes","The primary aim of MasterBayes is to use MCMC techniques to integrate over uncertainty in pedigree configurations estimated from molecular markers and phenotypic data. Emphasis is put on the marginal distribution of parameters that relate the phenotypic data to the pedigree. All simulation is done in compiled C++ for efficiency.","Jarrod Hadfield","coda, genetics, gtools, kinship2","Bayesian","Jarrod Hadfield  <j.hadfield at ed.ac.uk>","2017-07-29","2.55","methods, stats",NA,NA,NA,NA,NA,NA,"pedantics",NA,NA,NA,NA
"79","matchingMarkets","Implements structural estimators to correct for the sample selection bias from observed outcomes in matching markets. This includes one-sided matching of agents into groups as well as two-sided matching of students to schools. The package also contains algorithms to find stable matchings in the three most common matching problems: the stable roommates problem, the college admissions problem, and the house allocation problem.","Thilo Klein [aut, cre],
  Sven Giegerich [ctb]","R (≥ 3.0.2)","Bayesian, Econometrics, Finance, Optimization","Thilo Klein  <thilo at klein.uk>","2018-02-23","0.3-5","Rcpp (≥ 0.12.12), RcppProgress (≥ 0.2), rJava, lpSolve, lattice, partitions, parallel, stats, utils","Rcpp, RcppProgress, RcppArmadillo","knitr, ggplot2, grDevices, graphics","Java, C++11","http://matchingMarkets.org, http://klein.uk","https://github.com/thiloklein/matchingMarkets/issues",NA,NA,NA,NA,NA,NA
"80","MCMCglmm","MCMC Generalised Linear Mixed Models.","Jarrod Hadfield","Matrix, coda, ape","Bayesian, Phylogenetics, Psychometrics, SocialSciences, Survival","Jarrod Hadfield  <j.hadfield at ed.ac.uk>","2018-07-03","2.26","corpcor, tensorA, cubature, methods",NA,"rgl, combinat, mvtnorm, orthopolynom","C++11",NA,NA,NA,"MCMC.OTU, MCMC.qpcr, pedantics, PSIMEX","hmi, tRophicPosition","agridat, brms, broom.mixed, gap, IPMpack, lsmeans, miceadds, rotl, tidybayes",NA,"emmeans, MuMIn, nadiv"
"81","MCMCvis","Performs key functions for MCMC analysis using minimal code - visualizes, manipulates, and summarizes MCMC output. Functions support simple and straightforward subsetting of model parameters within the calls, and produce presentable and 'publication-ready' output. MCMC output may be derived from Bayesian model output fit with JAGS, Stan, or other MCMC samplers.","Casey Youngflesh  [aut, cre],
  Christian Che-Castaldo [ctb],
  Tyler Hardy [ctb]","R (≥ 3.3.0)","Bayesian","Casey Youngflesh  <caseyyoungflesh at gmail.com>","2018-08-27","0.11.2","coda, rstan, grDevices, graphics, stats, overlapping",NA,"knitr, rmarkdown, testthat",NA,"http://github.com/caseyyoungflesh/MCMCvis","http://github.com/caseyyoungflesh/MCMCvis/issues",NA,NA,NA,NA,NA,NA
"82","mgcv","Generalized additive (mixed) models, some of their extensions and other generalized ridge regression with multiple smoothing parameter estimation by (Restricted) Marginal Likelihood, Generalized Cross Validation and similar. Includes a gam() function, a wide variety of smoothers, JAGS support and distributions beyond the exponential family.","Simon Wood","R (≥ 2.14.0), nlme (≥ 3.1-64)","Bayesian, Econometrics, Environmetrics, SocialSciences","Simon Wood  <simon.wood at r-project.org>","2018-06-18","1.8-24","methods, stats, graphics, Matrix",NA,"splines, parallel, survival, MASS",NA,NA,NA,NA,"bamlss, baytrends, bgeva, CAM, cenGAM, coenoflex, coxed, denseFLMM, dlmap, dsm, eHOF, fcr, fda.usc, FlexGAM, gamlss.add, gamlss.spatial, gamm4, gammSlice, GJRM, gvcm.cat, ibr, ismev, itsadug, KnowBR, labdsv, MAPLES, mgcViz, modTempEff, mombf, MPINet, multipleNCC, NIRStat, nlshelper, nontarget, ordPens, PanJen, personalized, qgam, R2BayesX, reams, robustgam, scam, SemiParSampleSel, semsfa, sparseFLMM, STAR, structree, trioGxE, TTS","AdaptFitOS, AIG, analogue, anipaths, apsimr, BinQuasi, BNSP, brms, caffsim, car, CatPredi, causaldrf, CKLRT, ClusVis, colordistance, CondIndTests, demography, DHARMa, discSurv, dlnm, drsmooth, DSpat, DSsim, dtwSat, ega, emon, Epi, ez, face, FCGR, FDboost, FLightR, fRegression, funreg, FWDselect, gamclass, gamCopula, gamm4.test, gamRR, geoGAM, ggiraphExtra, ggplot2, goeveg, groc, gsg, Haplin, HLMdiag, INDperform, interflex, iRegression, JWileymisc, KarsTS, KMgene, kpcalg, ks, landsat, LMERConvenienceFunctions, loa, localIV, logistf, lspartition, LW1949, mapfuser, mbgraphic, MBHdesign, MBSGS, MFPCA, MHTrajectoryR, mirt, ModelMap, mrds, MRFcov, MvBinary, networkGen, npregfast, oddsratio, openair, palaeoSig, particles, pdp, pitchRx, Plasmode, poptrend, predkmeans, QRM, QuasiSeq, r2glmm, RAPTOR, RcmdrPlugin.HH, refund, reldist, rioja, rlme, RLRsim, rstpm2, sdPrior, secr, SEERaBomb, SentimentAnalysis, seqICP, sesem, simPH, sisal, slp, snht, spatstat, srp, SSDM, stacomiR, StatDA, tripEstimation, TSA, tsDyn, TSrepr, tukeytrend, VarSelLCM, vegan, vows, voxel, VWPre, WhiteStripe, WVPlots, xwf, zetadiv","adaptMT, agridat, BCEA, bestNormalize, BiodiversityR, biomod2, broom, broom.mixed, cAIC4, caret, catdata, CompareCausalNetworks, ctmcmove, cutpointr, diseasemapping, dplyr, dynamichazard, earth, fdapace, flexmix, ForeCA, freqparcoord, fscaret, gamair, GeneralizedUmatrix, ggstatsplot, ggvis, granova, grattan, heemod, HSAUR2, HSAUR3, inlabru, kernDeepStackNet, latticeExtra, lazyData, LinRegInteractive, longRPart2, macleish, MatchIt, mediation, mlt.docreg, MuMIn, munsellinterpol, myTAI, opera, plotluck, ProjectionBasedClustering, pscl, Rcmdr, RcmdrPlugin.IPSUR, rpanel, rstanarm, season, simex, simstudy, soil.spec, SpaDES.tools, treedater, VGAM, vinereg",NA,"sfsmisc, stargazer, texreg"
"83","mlogitBMA","Provides a modified function bic.glm of the BMA package that can be applied to multinomial logit (MNL) data. The data is converted to binary logit using the Begg & Gray approximation. The package also contains functions for maximum likelihood estimation of MNL.","Hana Sevcikova, Adrian Raftery","R (≥ 2.9.0), BMA, abind, maxLik","Bayesian","Hana Sevcikova  <hanas at uw.edu>","2013-12-11","0.1-6",NA,NA,"mlogit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","MNP","Fits the Bayesian multinomial probit model via Markov chain Monte Carlo. The multinomial probit model is often used to analyze the discrete choices made by individuals recorded in survey data. Examples where the multinomial probit model may be useful include the analysis of product choice by consumers in market research and the analysis of candidate or party choice by voters in electoral studies. The MNP package can also fit the model with different choice sets for each individual, and complete or partial individual choice orderings of the available alternatives from the choice set. The estimation is based on the efficient marginal data augmentation algorithm that is developed by Imai and van Dyk (2005). “A Bayesian Analysis of the Multinomial Probit Model Using the Data Augmentation,” Journal of Econometrics, Vol. 124, No. 2 (February), pp. 311-334. <doi:10.1016/j.jeconom.2004.02.002> Detailed examples are given in Imai and van Dyk (2005). “MNP: R Package for Fitting the Multinomial Probit Model.” Journal of Statistical Software, Vol. 14, No. 3 (May), pp. 1-32. <doi:10.18637/jss.v014.i03>.","Kosuke Imai [aut, cre],
  David van Dyk [aut],
  Hubert Jin [ctb]","R (≥ 2.1), MASS, utils","Bayesian, Econometrics, Multivariate, SocialSciences","Kosuke Imai  <kimai at princeton.edu>","2017-09-27","3.1-0",NA,NA,"testthat",NA,"http://imai.princeton.edu/software/MNP.html","https://github.com/kosukeimai/MNP/issues",NA,NA,NA,"WeightIt",NA,"prediction"
"85","mombf","Model selection and parameter estimation for non-local and some conjugate priors. Bayes factors for regression and mixtures. Routines to sample, evaluate prior densities, distributions and quantiles.","David Rossell, John D. Cook, Donatello Telesca, P. Roebuck","R (≥ 2.14.0), methods, mvtnorm, ncvreg, mgcv","Bayesian","David Rossell  <rosselldavid at gmail.com>","2018-06-22","2.1.2","mclust, survival",NA,"parallel",NA,"http://mombf.r-forge.r-project.org/",NA,NA,"GWASinlps",NA,NA,NA,NA
"86","monomvn","Estimation of multivariate normal and student-t data of arbitrary dimension where the pattern of missing data is monotone. Through the use of parsimonious/shrinkage regressions (plsr, pcr, lasso, ridge, etc.), where standard regressions fail, the package can handle a nearly arbitrary amount of missing data. The current version supports maximum likelihood inference and a full Bayesian approach employing scale-mixtures for Gibbs sampling. Monotone data augmentation extends this Bayesian approach to arbitrary missingness patterns. A fully functional standalone interface to the Bayesian lasso (from Park & Casella), Normal-Gamma (from Griffin & Brown), Horseshoe (from Carvalho, Polson, & Scott), and ridge regression with model selection via Reversible Jump, and student-t errors (from Geweke) is also provided.","Robert B. Gramacy","R (≥ 2.14.0), pls, lars, MASS","Bayesian, Multivariate","Robert B. Gramacy  <rbg at vt.edu>","2018-09-14","1.9-8","quadprog, mvtnorm",NA,NA,NA,"http://bobby.gramacy.com/r_packages/monomvn",NA,NA,NA,NA,NA,NA,NA
"87","NetworkChange","Network changepoint analysis for undirected network data. The package implements a hidden Markov multilinear tensor regression model (Park and Sohn, 2017, <http://jhp.snu.ac.kr/NetworkChange.pdf>). Functions for break number detection using the approximate marginal likelihood and WAIC are also provided.","Jong Hee Park [aut,cre], Yunkyu Sohn [aut]","R (≥ 2.10.0)","Bayesian","Jong Hee Park  <jongheepark at snu.ac.kr>","2017-08-19","0.3","ggplot2, Rmpfr, abind, mvtnorm, grid, LaplacesDemon, MCMCpack, stats, MASS, methods, RColorBrewer, ggvis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","openEBGM","An implementation of DuMouchel's (1999) <doi:10.1080/00031305.1999.10474456> Bayesian data mining method for the market basket problem. Calculates Empirical Bayes Geometric Mean (EBGM) and quantile scores from the posterior distribution using the Gamma-Poisson Shrinker (GPS) model to find unusually large cell counts in large, sparse contingency tables. Can be used to find unusually high reporting rates of adverse events associated with products. In general, can be used to mine any database where the co-occurrence of two variables or items is of interest. Also calculates relative and proportional reporting ratios. Builds on the work of the 'PhViD' package, from which much of the code is derived. Some of the added features include stratification to adjust for confounding variables and data squashing to improve computational efficiency. Now includes an implementation of the EM algorithm for hyperparameter estimation loosely derived from the 'mederrRank' package.","John Ihrie [cre, aut],
  Travis Canida [aut],
  IsmaÃ¯l Ahmed [ctb] (author of 'PhViD' package (derived code)),
  Antoine Poncet [ctb] (author of 'PhViD'),
  Sergio Venturini [ctb] (author of 'mederrRank' package (derived code)),
  Jessica Myers [ctb] (author of 'mederrRank')","R (≥ 3.2.3)","Bayesian","John Ihrie  <John.Ihrie at fda.hhs.gov>","2018-08-16","0.7.0","data.table (≥ 1.10.0), ggplot2 (≥ 2.2.1), stats (≥ 3.2.3)",NA,"dplyr (≥ 0.5.0), knitr (≥ 1.15.1), rmarkdown (≥ 1.2), testthat (≥ 1.0.2), tidyr (≥ 0.6.0)",NA,"https://journal.r-project.org/archive/2017/RJ-2017-063/index.html",NA,NA,NA,NA,NA,NA,NA
"89","pacbpred","This package is intended to perform estimation and prediction in high-dimensional additive models, using a sparse PAC-Bayesian point of view and a MCMC algorithm. The method is fully described in Guedj and Alquier (2013), 'PAC-Bayesian Estimation and Prediction in Sparse Additive Models', Electronic Journal of Statistics, 7, 264–291.","Benjamin Guedj",NA,"Bayesian","Benjamin Guedj  <benjamin.guedj at upmc.fr>","2013-02-05","0.92.2",NA,NA,NA,NA,"http://www.lsta.upmc.fr/doct/guedj/index.html",NA,NA,NA,NA,NA,NA,NA
"90","PAWL","Implementation of the Parallel Adaptive Wang-Landau algorithm. Also implemented for comparison: parallel adaptive Metropolis-Hastings,SMC sampler.","Luke Bornn, Pierre E. Jacob","methods, mvtnorm, foreach, reshape, ggplot2","Bayesian","Pierre Jacob  <pierre.jacob.work at gmail.com>","2012-11-15","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","predmixcor","""train_predict_mix"" predicts the binary response with binary features","Longhai Li","R (≥ 1.5.0)","Bayesian","Longhai Li  <longhai at math.usask.ca>","2012-10-29","1.1-1",NA,NA,NA,NA,"http://www.r-project.org, http://math.usask.ca/~longhai",NA,NA,NA,NA,NA,NA,NA
"92","PReMiuM","Bayesian clustering using a Dirichlet process mixture model. This model is an alternative to regression models, non-parametrically linking a response vector to covariate data through cluster membership. The package allows Bernoulli, Binomial, Poisson, Normal, survival and categorical response, as well as Normal and discrete covariates. It also allows for fixed effects in the response model, where a spatial CAR (conditional autoregressive) term can be also included. Additionally, predictions may be made for the response, and missing values for the covariates are handled. Several samplers and label switching moves are implemented along with diagnostic tools to assess convergence. A number of R functions for post-processing of the output are also provided. In addition to fitting mixtures, it may additionally be of interest to determine which covariates actively drive the mixture components. This is implemented in the package as variable selection. The main reference for the package is Liverani, Hastie, Azizi, Papathomas and Richardson (2015) <doi:10.18637/jss.v064.i07>.","David I. Hastie, Silvia Liverani and Sylvia Richardson with contributions from Aurore J. Lavigne, Lucy Leigh, Lamiae Azizi, Xi Liu, Ruizhu Huang, Austin Gratton, Wei Jing","R (≥ 3.4.0)","Bayesian, Cluster, Spatial, Survival","Silvia Liverani  <liveranis at gmail.com>","2018-09-26","3.2.1","Rcpp (≥ 0.12.13), ggplot2 (≥ 2.2), cluster, plotrix (≥
3.6-6), gamlss.dist (≥ 4.3-1), ald (≥ 1.1), data.table (≥
1.10.4-3), spdep (≥ 0.7-7), rgdal (≥ 1.3-3)","Rcpp, RcppEigen (≥ 0.3.3.3.0), BH (≥ 1.65.0-1)","testthat (≥ 1.0.2)","GNU make","http://www.silvialiverani.com/software/",NA,NA,NA,NA,NA,NA,NA
"93","prevalence","The prevalence package provides Frequentist and Bayesian methods for prevalence assessment studies. IMPORTANT: the truePrev functions in the prevalence package call on JAGS (Just Another Gibbs Sampler), which therefore has to be available on the user's system. JAGS can be downloaded from http://mcmc-jags.sourceforge.net/.","Brecht Devleesschauwer [aut, cre],
  Paul Torgerson [aut],
  Johannes Charlier [aut],
  Bruno Levecke [aut],
  Nicolas Praet [aut],
  Sophie Roelandt [aut],
  Suzanne Smit [aut],
  Pierre Dorny [aut],
  Dirk Berkvens [aut],
  Niko Speybroeck [aut]","R (≥ 3.0.0), rjags, coda, methods","Bayesian","Brecht Devleesschauwer  <brechtdv at gmail.com>","2015-04-20","0.4.0",NA,NA,NA,"JAGS (>= 3.2.0) (see
http://mcmc-jags.sourceforge.net)","http://prevalence.cbra.be/","https://github.com/brechtdv/prevalence/issues",NA,NA,NA,NA,NA,NA
"94","profdpm","This package facilitates profile inference (inference at the posterior mode) for a class of product partition models (PPM). The Dirichlet process mixture is currently the only available member of this class. These methods search for the maximum posterior (MAP) estimate for the data partition in a PPM.","Matt Shotwell",NA,"Bayesian, Cluster","Matt Shotwell  <matt.shotwell at vanderbilt.edu>","2013-05-25","3.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dendextend",NA,NA
"95","pscl","Bayesian analysis of item-response theory (IRT) models, roll call analysis; computing highest density regions; maximum likelihood estimation of zero-inflated and hurdle models for count data; goodness-of-fit measures for GLMs; data sets used in writing and teaching at the Political Science Computational Laboratory; seats-votes curves.","Simon Jackman, with contributions from
        Alex Tahk, Achim Zeileis, Christina Maimone, Jim Fearon and Zoe Meers",NA,"Bayesian, Econometrics, Environmetrics, Psychometrics, SocialSciences","Simon Jackman  <simon.jackman at sydney.edu.au>","2017-10-10","1.5.2","MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd, mvtnorm, mgcv",NA,"http://github.com/atahk/pscl",NA,NA,"accelmissing, anominate, BSGS, BSPADATA, emIRT, IGG, lctools, oc, robustsae, wnominate","ashr, BayesSpec, congressbr, Countr, DAMisc, DClusterm, fakeR, mpath, NormalBetaPrime, opticut, sdPrior","AER, agridat, AICcmodavg, catdata, fence, glmmTMB, glmulti, glmx, hnp, idealstan, lsmeans, nonnest2, paleofire, sandwich, scanstatistics, sjPlot, ZIM",NA,"emmeans, MuMIn, prediction, stargazer, texreg"
"96","R2BayesX","An R interface to estimate structured additive regression (STAR) models with 'BayesX'.","Nikolaus Umlauf [aut, cre],
  Thomas Kneib [aut],
  Stefan Lang [aut],
  Achim Zeileis  [aut]","R (≥ 2.13.0), BayesXsrc, colorspace, mgcv","Bayesian","Nikolaus Umlauf  <Nikolaus.Umlauf at uibk.ac.at>","2017-12-05","1.1-1","methods",NA,"akima, coda, maps, maptools, MBA, parallel, shapefiles, sp, spdep, splines, rgdal, spData",NA,NA,NA,NA,NA,"sptemExp","BayesXsrc, gamboostLSS",NA,NA
"97","R2jags","Providing wrapper functions to implement Bayesian analysis in JAGS. Some major features include monitoring convergence of a MCMC model using Rubin and Gelman Rhat statistics, automatically running a MCMC model till it converges, and implementing parallel processing of a MCMC model for multiple chains.","Yu-Sung Su,
        Masanao Yajima,","R (≥ 2.14.0), rjags (≥ 3-3)","Bayesian","Yu-Sung Su  <suyusung at tsinghua.edu.cn>","2015-08-23","0.5-7","abind, coda (≥ 0.13), graphics, grDevices, methods, R2WinBUGS, parallel, stats, utils",NA,NA,"JAGS (http://mcmc-jags.sourceforge.net)",NA,NA,NA,"BayesMed, bmeta, CCTpack, eivtools, IUPS, miscF, TropFishR","agRee, bamdit, boral, classify, jarbes, MixSIAR, SeqFeatR, upmfit","AICcmodavg, BCEA, bridgesampling, ftsa, gap, LakeMetabolizer",NA,"glmmBUGS"
"98","R2WinBUGS","Invoke a 'BUGS' model in 'OpenBUGS' or 'WinBUGS', a class ""bugs"" for 'BUGS' results and functions to work with that class. Function write.model() allows a 'BUGS' model file to be written. The class and auxiliary functions could be used with other MCMC programs, including 'JAGS'.","originally written by Andrew Gelman;
 changes and packaged by Sibylle Sturtz
 and Uwe Ligges.
 With considerable contributions by Gregor Gorjanc
 and Jouni Kerman.
 Ported to S-PLUS by Insightful Corp.","R (≥ 2.13.0), coda (≥ 0.11-0), boot","Bayesian, gR","Uwe Ligges  <ligges at statistik.tu-dortmund.de>","2015-07-30","2.1-21","utils, stats, graphics",NA,"BRugs (≥ 0.3-2)","OpenBugs for functions bugs() and openbugs() or
WinBUGS 1.4 for function bugs()",NA,NA,NA,"bisoreg","R2jags, spikeSlabGAM","AICcmodavg, bcrm, classify, crmPack, dclone, emdbook, MethComp, nimble, phase1RMD",NA,"glmmBUGS"
"99","ramps","Bayesian geostatistical modeling of Gaussian processes using a reparameterized and marginalized posterior sampling (RAMPS) algorithm designed to lower autocorrelation in MCMC samples. Package performance is tuned for large spatial datasets.","Brian J Smith [aut, cre],
  Jun Yan [aut],
  Mary Kathryn Cowles [aut]","coda, maps, Matrix, nlme","Bayesian, Spatial","Brian J Smith  <brian-j-smith at uiowa.edu>","2018-03-26","0.6-15","fields, graphics, grDevices, methods, stats",NA,NA,NA,"http://www.jstatsoft.org/v25/i10",NA,NA,NA,NA,NA,NA,NA
"100","rbugs","Functions to prepare files needed for running BUGS in batch-mode, and running BUGS from R. Support for Linux and Windows systems with OpenBugs is emphasized.","Jun Yan and Marcos Prates",NA,"Bayesian, gR","Marcos Prates  <marcosop at est.ufmg.br>","2013-04-09","0.5-9",NA,NA,"coda (≥ 0.13-5)",NA,NA,NA,NA,NA,"R2MLwiN",NA,NA,NA
"101","revdbayes","Provides functions for the Bayesian analysis of extreme value models. The 'rust' package <https://cran.r-project.org/package=rust> is used to simulate a random sample from the required posterior distribution. The functionality of 'revdbayes' is similar to the 'evdbayes' package <https://cran.r-project.org/package=evdbayes>, which uses Markov Chain Monte Carlo ('MCMC') methods for posterior simulation. Also provided are functions for making inferences about the extremal index, using the K-gaps model of Suveges and Davison (2010) <doi:10.1214/09-AOAS292>.","Paul J. Northrop [aut, cre, cph]","R (≥ 3.3.0)","Bayesian, Distributions, ExtremeValue","Paul J. Northrop  <p.northrop at ucl.ac.uk>","2018-02-12","1.3.2","bayesplot (≥ 1.1.0), graphics, methods, Rcpp, rust (≥
1.2.2), stats, utils, zoo","Rcpp (≥ 0.12.10), RcppArmadillo","evdbayes, ggplot2 (≥ 2.2.1), knitr, microbenchmark, rmarkdown, testthat",NA,"http://github.com/paulnorthrop/revdbayes","http://github.com/paulnorthrop/revdbayes/issues",NA,NA,"mev, smovie, threshr","fitteR, rust",NA,NA
"102","RJaCGH","Bayesian analysis of CGH microarrays fitting Hidden Markov Chain models. The selection of the number of states is made via their posterior probability computed by Reversible Jump Markov Chain Monte Carlo Methods. Also returns probabilistic common regions for gains/losses.","Oscar Rueda and Ramon Diaz-Uriarte. zlib from Jean-loup Gailly and Mark Adler;
        see README. Function ""getHostname.System"" from package R.utils
        by Henrik Bengtsson.","R (≥ 2.13)","Bayesian","Oscar Rueda  <rueda.om at gmail.com>","2015-07-10","2.0.4",NA,NA,NA,"zlib headers and library.","http://www.r-project.org",NA,NA,NA,NA,NA,NA,NA
"103","rjags","Interface to the JAGS MCMC library.","Martyn Plummer [aut, cre],
  Alexey Stukalov [ctb],
  Matt Denwood [ctb]","R (≥ 2.14.0), coda (≥ 0.13)","Bayesian, Cluster, gR","Martyn Plummer  <plummerm at iarc.fr>","2016-02-19","4-6",NA,NA,"tcltk","JAGS 4.x.y","http://mcmc-jags.sourceforge.net",NA,NA,"ArchaeoChron, auRoc, BayesTwin, BaySIC, bdribs, bsam, gbs2ploidy, JointAI, lira, ordinalRR, pcnetmeta, phase1RMD, prevalence, PurBayes, R2jags, simmr, TropFishR, tuts, zoib","abn, BACCT, bacistool, bamdit, BANOVA, bayescount, bayesmix, BayesRS, BayLum, bdpopt, BEST, BTSPAS, CCTpack, crmPack, dalmatian, dclone, EasyMARK, ewoc, gemtc, HydeNet, jagsUI, jarbes, MixSIAR, morse, phenoCDM, RcmdrPlugin.RMTCJags, SIBER, TreeBUGS, tRophicPosition, zooaRchGUI","bamlss, bcrm, blavaan, bridgesampling, covafillr, dcmle, LEAPFrOG, lucid, Luminescence, metamisc, MethComp, nCal, nimble, runjags, tidybayes, wiqid",NA,"glmmBUGS, pbdDEMO"
"104","RSGHB","Functions for estimating models using a Hierarchical Bayesian (HB) framework. The flexibility comes in allowing the user to specify the likelihood function directly instead of assuming predetermined model structures. Types of models that can be estimated with this code include the family of discrete choice models (Multinomial Logit, Mixed Logit, Nested Logit, Error Components Logit and Latent Class) as well ordered response models like ordered probit and ordered logit. In addition, the package allows for flexibility in specifying parameters as either fixed (non-varying across individuals) or random with continuous distributions. Parameter distributions supported include normal, positive/negative log-normal, positive/negative censored normal, and the Johnson SB distribution. Kenneth Train's Matlab and Gauss code for doing Hierarchical Bayesian estimation has served as the basis for a few of the functions included in this package. These Matlab/Gauss functions have been rewritten to be optimized within R. Considerable code has been added to increase the flexibility and usability of the code base. Train's original Gauss and Matlab code can be found here: http://elsa.berkeley.edu/Software/abstracts/train1006mxlhb.html See Train's chapter on HB in Discrete Choice with Simulation here: http://elsa.berkeley.edu/books/choice2.html; and his paper on using HB with non-normal distributions here: http://eml.berkeley.edu//~train/trainsonnier.pdf.","Jeff Dumont [aut, cre],
  Jeff Keller [aut],
  Chase Carpenter [ctb]","methods","Bayesian, Bayesian, Econometrics","Jeff Dumont  <Jeff.Dumont at rsginc.com>","2015-12-16","1.1.2","graphics, grDevices, stats, utils",NA,NA,NA,"https://github.com/RSGInc/RSGHB",NA,NA,NA,NA,NA,NA,NA
