"","Package","PackageDescription","Author.","Citation.","CRAN.checks.","Depends.","In.views.","License.","Maintainer.","NeedsCompilation.","Published.","Version.","Imports.","LinkingTo.","Materials.","Suggests.","SystemRequirements.","URL.","BugReports.","Copyright.","Enhances.","Contact.","Priority.","Reverse.depends.","Reverse.imports.","Reverse.suggests.","Reverse.linking.to.","Reverse.enhances."
"71","HI","Simulation from distributions supported by nested hyperplanes, using the algorithm described in Petris & Tardella, ""A geometric approach to transdimensional Markov chain Monte Carlo"", Canadian Journal of Statistics, v.31, n.4, (2003). Also random direction multivariate Adaptive Rejection Metropolis Sampling.","Giovanni Petris and Luca Tardella; original C code for ARMS by Wally
        Gilks.",NA,"HI results","R (≥ 1.7.0)","Bayesian, Distributions","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Giovanni Petris  <GPetris at Uark.edu>","yes","2013-03-26","0.4",NA,NA,"README",NA,NA,NA,NA,NA,NA,NA,NA,"BBRecapture, ICBayes","MfUSampler, ReliabilityTheory, VARsignR",NA,NA,NA
"72","Hmisc","Contains many functions useful for data analysis, high-level graphics, utility operations, functions for computing sample size and power, importing and annotating datasets, imputing missing values, advanced table making, variable clustering, character string manipulation, conversion of R objects to LaTeX and html code, and recoding variables.","Frank E Harrell Jr, with
  contributions from Charles Dupont and many others.",NA,"Hmisc results","lattice, survival (≥ 2.40-1), Formula, ggplot2 (≥ 2.2)","Bayesian, ClinicalTrials, Econometrics, Multivariate, OfficialStatistics, ReproducibleResearch, SocialSciences","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Frank E Harrell Jr  <f.harrell at vanderbilt.edu>","yes","2018-01-03","4.1-1","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign, gtable, grid, gridExtra, data.table, htmlTable (≥ 1.11.0), viridis, htmltools, base64enc",NA,"README NEWS ChangeLog","chron, rms, mice, tables, knitr, ff, ffbase, plotly (≥
4.5.6)",NA,"http://biostat.mc.vanderbilt.edu/Hmisc,
https://github.com/harrelfe/Hmisc",NA,NA,NA,NA,NA,"abctools, acid, anesrake, aspace, cg, colorscience, compareGroups, EBMAforecast, ENmisc, EstCRM, etable, FRESA.CAD, FunCluster, funModeling, greport, greyzoneSurv, gset, ImportExport, LifeHist, mapReasy, MEET, nonparaeff, poolVIM, PredictABEL, PRIMsrc, prLogistic, pse, RcmdrPlugin.Export, RcmdrPlugin.mosaic, RHMS, RM.weights, rms, Scale, tables, testforDEP, univOutl, uqr, UsingR, weights, WRSS","aqp, AROC, atable, automultinomial, BaBooN, bdynsys, brainGraph, CAinterprTools, CANSIM2R, caschrono, CATkit, choroplethr, CluMix, Compind, contrast, cosinor2, Counterfactual, CsChange, cultevo, datacheck, datadigest, DeducerSpatial, define, diceR, DiffNet, dineq, drLumi, ExPanDaR, fdapace, FedData, finalfit, FRK, ggquickeda, GmAMisc, Gmisc, Greg, hddtools, heuristica, HH, HistogramTools, hydroPSO, IIS, imageData, intsvy, IPSUR, JMbayes, kehra, lazyWeave, LEGIT, lilikoi, linkspotter, LSAmitR, mapStats, MatchLinReg, matchMulti, maxadjAUC, mediation, mgm, microplot, momr, Mqrcm, MRPC, muHVT, multiselect, nbpMatching, ndl, NetLogoR, NetOrigin, neuropsychology, nhanesA, nlrr, NSM3, otvPlots, pcgen, PerFit, peRiodiCS, plotluck, poliscidata, polyPK, progenyClust, PSW, qgraph, qte, rags2ridges, RcmdrMisc, RDS, reldist, RPPanalyzer, SASxport, sbpiper, scape, scRNAtools, SDD, SensMixed, Seurat, sharpshootR, smacof, soilDB, spsurvey, stacomiR, stocks, strat, strataG, survivalsvm, SvyNom, tigerhitteR, TopKLists, TraMineR, TropFishR, VIMGUI, visualFields, vosonSML, VRPM, VTrack, WGCNA, wppExplorer, wux, x12GUI, xkcd, xpose4","abd, AnaCoDa, ascii, asVPC, BB, bbmle, bfp, BIFIEsurvey, biomod2, broom, causaldrf, CFC, Deducer, dtwSat, ecotox, emil, epade, fastR, fastR2, fscaret, ggplot2, ggstance, GMCM, GSIF, hdnom, heemod, horseshoe, htmlTable, kamila, kyotil, labelVector, languageR, lulcc, MARSS, MissingDataGUI, mlr, mlrCPO, naniar, nlme, nLTT, pec, PerformanceAnalytics, planar, plotKML, polymapR, PopED, PSCBS, rattle, Rcmdr, RcmdrPlugin.pointG, rex, RGraphics, rknn, Rmisc, rockchalk, separationplot, simsalapar, sjlabelled, Sleuth3, SmartEDA, smcUtils, StatMatch, subsemble, tangram, TCGAretriever, umx, wdm, nlme",NA,"dendextend"
"73","iterLap","The iterLap (iterated Laplace approximation) algorithm approximates a general (possibly non-normalized) probability density on R^p, by repeated Laplace approximations to the difference between current approximation and true density (on log scale). The final approximation is a mixture of multivariate normal distributions and might be used for example as a proposal distribution for importance sampling (eg in Bayesian applications). The algorithm can be seen as a computational generalization of the Laplace approximation suitable for skew or multimodal densities.","Bjoern Bornkamp","iterLap citation info","iterLap results","quadprog, randtoolbox, parallel, R (≥ 2.15)","Bayesian","GPL-2 | GPL-3 [expanded from: GPL]","Bjoern Bornkamp  <bbnkmp at gmail.com>","yes","2017-08-05","1.1-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","LaplacesDemon","Provides a complete environment for Bayesian inference using a variety of different samplers (see ?LaplacesDemon for an overview). The README describes the history of the package development process.","Byron Hall [aut],
  Martina Hall [aut],
  Statisticat, LLC [aut],
  Eric Brown [ctb],
  Richard Hermanson [ctb],
  Emmanuel Charpentier [ctb],
  Daniel Heck [ctb],
  Stephane Laurent [ctb],
  Quentin F. Gronau [ctb],
  Henrik Singmann [cre]","LaplacesDemon citation info","LaplacesDemon results","R (≥ 3.0.0)","Bayesian, Distributions","MIT + file LICENSE","Henrik Singmann  <singmann+LaplacesDemon at gmail.com>","no","2018-06-30","16.1.1","parallel, grDevices, graphics, stats, utils",NA,"README ChangeLog","KernSmooth",NA,"https://github.com/LaplacesDemonR/LaplacesDemon","https://github.com/LaplacesDemonR/LaplacesDemon/issues",NA,NA,NA,NA,"BayesESS, hyper.fit","bgsmtr, evidence, metaBMA, momentuHMM, NetworkChange, ProFit, sbart, sklarsomega, tidybayes","extraDistr, ProFound",NA,NA
"75","LearnBayes","A collection of functions helpful in learning the basic tenets of Bayesian statistical inference. It contains functions for summarizing basic one and two parameter posterior distributions and predictive distributions. It contains MCMC algorithms for summarizing posterior distributions defined by the user. It also contains functions for regression models, hierarchical models, Bayesian tests, and illustrations of Gibbs sampling.","Jim Albert",NA,"LearnBayes results",NA,"Bayesian, Distributions, Survival","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Jim Albert  <albert at bgsu.edu>","no","2018-03-18","2.15.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bayeslongitudinal, psbcGroup, TeachBayes","cancerTiming, evidence, RSSampling, spdep","mistat",NA,NA
"76","lme4","Fit linear and generalized linear mixed-effects models. The models and their components are represented using S4 classes and methods. The core computational algorithms are implemented using the 'Eigen' C++ library for numerical linear algebra and 'RcppEigen' ""glue"".","Douglas Bates [aut],
  Martin Maechler [aut],
  Ben Bolker [aut, cre],
  Steven Walker [aut],
  Rune Haubo Bojesen Christensen [ctb],
  Henrik Singmann [ctb],
  Bin Dai [ctb],
  Fabian Scheipl [ctb],
  Gabor Grothendieck [ctb],
  Peter Green [ctb]","lme4 citation info","lme4 results","R (≥ 3.2.0), Matrix (≥ 1.2-1), methods, stats","Bayesian, Econometrics, Environmetrics, OfficialStatistics, Psychometrics, SocialSciences, SpatioTemporal","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Ben Bolker  <bbolker+lme4 at gmail.com>","yes","2018-08-17","1.1-18-1","graphics, grid, splines, utils, parallel, MASS, lattice, nlme (≥ 3.1-123), minqa (≥ 1.1.15), nloptr (≥ 1.0.4)","Rcpp (≥ 0.10.5), RcppEigen","NEWS ChangeLog","knitr, boot, PKPDmodels, MEMSS, testthat (≥ 0.8.1), ggplot2, mlmRev, optimx (≥ 2013.8.6), gamm4, pbkrtest, HSAUR2, numDeriv",NA,"https://github.com/lme4/lme4/ http://lme4.r-forge.r-project.org/","https://github.com/lme4/lme4/issues",NA,NA,"LME4 Authors <lme4-authors@lists.r-forge.r-project.org>",NA,"abn, afex, agRee, aods3, ArfimaMLM, arm, bapred, BBRecapture, BClustLonG, blme, cAIC4, carcass, cgam, CLME, dfmeta, fishmethods, gamm4, GHap, glmertree, GLMMRR, gtheory, GWAF, influence.ME, JAGUAR, joineRmeta, JointModel, lmerTest, longpower, macc, MargCond, marked, MEMSS, merDeriv, merTools, Metatron, mixAK, MixRF, mlma, mlmRev, MultisiteMediation, mumm, mvMISE, nonrandom, pbkrtest, pedigreemm, predictmeans, prLogistic, robustBLME, robustlmm, sae, siland, simr, structree, swissMrP, WebPower, WeMix","ARTool, bayesammi, baystability, blmeco, blocksdesign, BradleyTerry2, BreedingSchemeLanguage, car, ciTools, clickR, climwin, clusteredinterference, clusterPower, CMatching, cpr, DClusterm, DHARMa, diagmeta, difR, doremi, eda4treeR, eefAnalytics, effects, embed, epr, ESTER, ez, faraway, fence, finalfit, fullfact, geex, glmmEP, glmmsr, glmmTMB, groupedstats, gvcR, HeritSeq, hmi, IMTest, inferference, intRvals, joineRML, jomo, JWileymisc, KenSyn, lmem.qtler, LMERConvenienceFunctions, lmmen, lmSupport, LSAmitR, MAGNAMWAR, mbest, MDMR, mediation, metamisc, metaplus, miceadds, micemd, MixedPsy, MixMAP, MLID, mlVAR, multiDimBio, MultiRR, MXM, neuropsychology, omics, OptimClassifier, pamm, PBImisc, pcgen, piecewiseSEM, Plasmode, PLmixed, powerbydesign, powerlmm, psycho, pubh, RBesT, refund, refund.shiny, reghelper, REndo, reproducer, RLRsim, rockchalk, rpql, rptR, RRreg, rstanarm, RVAideMemoire, RVFam, SensMixed, sjPlot, sjstats, skpr, smicd, SoyNAM, spacom, SPreFuGED, squid, stability, standardize, StroupGLMM, Surrogate, TcGSA, themetagenomics, tnam, treatSens, tukeytrend, userfriendlyscience, VCA, VetResearchLMM, warpMix, welchADF","AgreementInterval, agridat, AICcmodavg, ANOM, aod, auditor, AzureML, BayesFactor, BGData, BIFIEsurvey, brms, broom, broom.mixed, catdata, clubSandwich, codebook, DAAG, dlnm, doBy, DySeq, emmeans, Epi, expp, eyetrackingR, flexmix, gamair, ggeffects, ggstatsplot, glmulti, gmodels, hamlet, HLMdiag, hnp, HSAUR, HSAUR2, HSAUR3, huxtable, iccbeta, ICCbin, immer, irtrees, jtools, KFAS, konfound, kulife, kyotil, LAM, languageR, lava, lavaSearch2, likelihoodAsy, lmeresampler, lsmeans, lucid, margins, MARSS, MESS, meta, metafor, MethComp, mice, mitml, mixlm, multcomp, MuMIn, mztwinreg, NAM, NanoStringNorm, OnAge, OpenMx, ordinal, pan, pez, phia, polypoly, psych, Publish, purge, R2admb, r2glmm, RcmdrPlugin.NMBU, rmcorr, samplingDataCRT, SARP.compo, SASmixed, simglm, slim, spaMM, tableone, texreg, TripleR, TukeyC",NA,"memisc, papeR, prediction, stargazer"
"77","lmm","It implements Expectation/Conditional Maximization Either (ECME) and rapidly converging algorithms as well as Bayesian inference for linear mixed models, which is described in Schafer, J.L. (1998) ""Some improved procedures for linear mixed models"". Dept. of Statistics, The Pennsylvania State University.","Original by Joseph L. Schafer",NA,"lmm results","R (≥ 2.0.0)","Bayesian, SocialSciences","Unlimited","Jing hua Zhao  <jinghuazhao at hotmail.com>","yes","2018-06-30","1.2",NA,NA,"ChangeLog",NA,NA,"https://github.com/jinghuazhao/R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","MasterBayes","The primary aim of MasterBayes is to use MCMC techniques to integrate over uncertainty in pedigree configurations estimated from molecular markers and phenotypic data. Emphasis is put on the marginal distribution of parameters that relate the phenotypic data to the pedigree. All simulation is done in compiled C++ for efficiency.","Jarrod Hadfield","MasterBayes citation info","MasterBayes results","coda, genetics, gtools, kinship2","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Jarrod Hadfield  <j.hadfield at ed.ac.uk>","yes","2017-07-29","2.55","methods, stats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pedantics",NA,NA,NA,NA
"79","matchingMarkets","Implements structural estimators to correct for the sample selection bias from observed outcomes in matching markets. This includes one-sided matching of agents into groups as well as two-sided matching of students to schools. The package also contains algorithms to find stable matchings in the three most common matching problems: the stable roommates problem, the college admissions problem, and the house allocation problem.","Thilo Klein [aut, cre],
  Sven Giegerich [ctb]","matchingMarkets citation info","matchingMarkets results","R (≥ 3.0.2)","Bayesian, Econometrics, Finance, Optimization","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Thilo Klein  <thilo at klein.uk>","yes","2018-02-23","0.3-5","Rcpp (≥ 0.12.12), RcppProgress (≥ 0.2), rJava, lpSolve, lattice, partitions, parallel, stats, utils","Rcpp, RcppProgress, RcppArmadillo","README NEWS","knitr, ggplot2, grDevices, graphics","Java, C++11","http://matchingMarkets.org, http://klein.uk","https://github.com/thiloklein/matchingMarkets/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","MCMCglmm","MCMC Generalised Linear Mixed Models.","Jarrod Hadfield","MCMCglmm citation info","MCMCglmm results","Matrix, coda, ape","Bayesian, Phylogenetics, Psychometrics, SocialSciences, Survival","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Jarrod Hadfield  <j.hadfield at ed.ac.uk>","yes","2018-07-03","2.26","corpcor, tensorA, cubature, methods",NA,NA,"rgl, combinat, mvtnorm, orthopolynom","C++11",NA,NA,NA,NA,NA,NA,"MCMC.OTU, MCMC.qpcr, pedantics, PSIMEX","hmi, tRophicPosition","agridat, brms, broom.mixed, gap, IPMpack, lsmeans, miceadds, rotl, tidybayes",NA,"emmeans, MuMIn, nadiv"
"81","MCMCvis","Performs key functions for MCMC analysis using minimal code - visualizes, manipulates, and summarizes MCMC output. Functions support simple and straightforward subsetting of model parameters within the calls, and produce presentable and 'publication-ready' output. MCMC output may be derived from Bayesian model output fit with JAGS, Stan, or other MCMC samplers.","Casey Youngflesh  [aut, cre],
  Christian Che-Castaldo [ctb],
  Tyler Hardy [ctb]","MCMCvis citation info","MCMCvis results","R (≥ 3.3.0)","Bayesian","GPL-3","Casey Youngflesh  <caseyyoungflesh at gmail.com>","no","2018-08-27","0.11.2","coda, rstan, grDevices, graphics, stats, overlapping",NA,"NEWS","knitr, rmarkdown, testthat",NA,"http://github.com/caseyyoungflesh/MCMCvis","http://github.com/caseyyoungflesh/MCMCvis/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","mgcv","Generalized additive (mixed) models, some of their extensions and other generalized ridge regression with multiple smoothing parameter estimation by (Restricted) Marginal Likelihood, Generalized Cross Validation and similar. Includes a gam() function, a wide variety of smoothers, JAGS support and distributions beyond the exponential family.","Simon Wood","mgcv citation info","mgcv results","R (≥ 2.14.0), nlme (≥ 3.1-64)","Bayesian, Econometrics, Environmetrics, SocialSciences","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Simon Wood  <simon.wood at r-project.org>","yes","2018-06-18","1.8-24","methods, stats, graphics, Matrix",NA,"ChangeLog","splines, parallel, survival, MASS",NA,NA,NA,NA,NA,NA,"recommended","bamlss, baytrends, bgeva, CAM, cenGAM, coenoflex, coxed, denseFLMM, dlmap, dsm, eHOF, fcr, fda.usc, FlexGAM, gamlss.add, gamlss.spatial, gamm4, gammSlice, GJRM, gvcm.cat, ibr, ismev, itsadug, KnowBR, labdsv, MAPLES, mgcViz, modTempEff, mombf, MPINet, multipleNCC, NIRStat, nlshelper, nontarget, ordPens, PanJen, personalized, qgam, R2BayesX, reams, robustgam, scam, SemiParSampleSel, semsfa, sparseFLMM, STAR, structree, trioGxE, TTS","AdaptFitOS, AIG, analogue, anipaths, apsimr, BinQuasi, BNSP, brms, caffsim, car, CatPredi, causaldrf, CKLRT, ClusVis, colordistance, CondIndTests, demography, DHARMa, discSurv, dlnm, drsmooth, DSpat, DSsim, dtwSat, ega, emon, Epi, ez, face, FCGR, FDboost, FLightR, fRegression, funreg, FWDselect, gamclass, gamCopula, gamm4.test, gamRR, geoGAM, ggiraphExtra, ggplot2, goeveg, groc, gsg, Haplin, HLMdiag, INDperform, interflex, iRegression, JWileymisc, KarsTS, KMgene, kpcalg, ks, landsat, LMERConvenienceFunctions, loa, localIV, logistf, lspartition, LW1949, mapfuser, mbgraphic, MBHdesign, MBSGS, MFPCA, MHTrajectoryR, mirt, ModelMap, mrds, MRFcov, MvBinary, networkGen, npregfast, oddsratio, openair, palaeoSig, particles, pdp, pitchRx, Plasmode, poptrend, predkmeans, QRM, QuasiSeq, r2glmm, RAPTOR, RcmdrPlugin.HH, refund, reldist, rioja, rlme, RLRsim, rstpm2, sdPrior, secr, SEERaBomb, SentimentAnalysis, seqICP, sesem, simPH, sisal, slp, snht, spatstat, srp, SSDM, stacomiR, StatDA, tripEstimation, TSA, tsDyn, TSrepr, tukeytrend, VarSelLCM, vegan, vows, voxel, VWPre, WhiteStripe, WVPlots, xwf, zetadiv","adaptMT, agridat, BCEA, bestNormalize, BiodiversityR, biomod2, broom, broom.mixed, cAIC4, caret, catdata, CompareCausalNetworks, ctmcmove, cutpointr, diseasemapping, dplyr, dynamichazard, earth, fdapace, flexmix, ForeCA, freqparcoord, fscaret, gamair, GeneralizedUmatrix, ggstatsplot, ggvis, granova, grattan, heemod, HSAUR2, HSAUR3, inlabru, kernDeepStackNet, latticeExtra, lazyData, LinRegInteractive, longRPart2, macleish, MatchIt, mediation, mlt.docreg, MuMIn, munsellinterpol, myTAI, opera, plotluck, ProjectionBasedClustering, pscl, Rcmdr, RcmdrPlugin.IPSUR, rpanel, rstanarm, season, simex, simstudy, soil.spec, SpaDES.tools, treedater, VGAM, vinereg",NA,"sfsmisc, stargazer, texreg"
"83","mlogitBMA","Provides a modified function bic.glm of the BMA package that can be applied to multinomial logit (MNL) data. The data is converted to binary logit using the Begg & Gray approximation. The package also contains functions for maximum likelihood estimation of MNL.","Hana Sevcikova, Adrian Raftery",NA,"mlogitBMA results","R (≥ 2.9.0), BMA, abind, maxLik","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Hana Sevcikova  <hanas at uw.edu>","yes","2013-12-11","0.1-6",NA,NA,"ChangeLog","mlogit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","MNP","Fits the Bayesian multinomial probit model via Markov chain Monte Carlo. The multinomial probit model is often used to analyze the discrete choices made by individuals recorded in survey data. Examples where the multinomial probit model may be useful include the analysis of product choice by consumers in market research and the analysis of candidate or party choice by voters in electoral studies. The MNP package can also fit the model with different choice sets for each individual, and complete or partial individual choice orderings of the available alternatives from the choice set. The estimation is based on the efficient marginal data augmentation algorithm that is developed by Imai and van Dyk (2005). “A Bayesian Analysis of the Multinomial Probit Model Using the Data Augmentation,” Journal of Econometrics, Vol. 124, No. 2 (February), pp. 311-334. <doi:10.1016/j.jeconom.2004.02.002> Detailed examples are given in Imai and van Dyk (2005). “MNP: R Package for Fitting the Multinomial Probit Model.” Journal of Statistical Software, Vol. 14, No. 3 (May), pp. 1-32. <doi:10.18637/jss.v014.i03>.","Kosuke Imai [aut, cre],
  David van Dyk [aut],
  Hubert Jin [ctb]",NA,"MNP results","R (≥ 2.1), MASS, utils","Bayesian, Econometrics, Multivariate, SocialSciences","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Kosuke Imai  <kimai at princeton.edu>","yes","2017-09-27","3.1-0",NA,NA,"ChangeLog","testthat",NA,"http://imai.princeton.edu/software/MNP.html","https://github.com/kosukeimai/MNP/issues",NA,NA,NA,NA,NA,NA,"WeightIt",NA,"prediction"
"85","mombf","Model selection and parameter estimation for non-local and some conjugate priors. Bayes factors for regression and mixtures. Routines to sample, evaluate prior densities, distributions and quantiles.","David Rossell, John D. Cook, Donatello Telesca, P. Roebuck",NA,"mombf results","R (≥ 2.14.0), methods, mvtnorm, ncvreg, mgcv","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","David Rossell  <rosselldavid at gmail.com>","yes","2018-06-22","2.1.2","mclust, survival",NA,"ChangeLog","parallel",NA,"http://mombf.r-forge.r-project.org/",NA,NA,NA,NA,NA,"GWASinlps",NA,NA,NA,NA
"86","monomvn","Estimation of multivariate normal and student-t data of arbitrary dimension where the pattern of missing data is monotone. Through the use of parsimonious/shrinkage regressions (plsr, pcr, lasso, ridge, etc.), where standard regressions fail, the package can handle a nearly arbitrary amount of missing data. The current version supports maximum likelihood inference and a full Bayesian approach employing scale-mixtures for Gibbs sampling. Monotone data augmentation extends this Bayesian approach to arbitrary missingness patterns. A fully functional standalone interface to the Bayesian lasso (from Park & Casella), Normal-Gamma (from Griffin & Brown), Horseshoe (from Carvalho, Polson, & Scott), and ridge regression with model selection via Reversible Jump, and student-t errors (from Geweke) is also provided.","Robert B. Gramacy",NA,"monomvn results","R (≥ 2.14.0), pls, lars, MASS","Bayesian, Multivariate","LGPL-2 | LGPL-2.1 | LGPL-3 [expanded from: LGPL]","Robert B. Gramacy  <rbg at vt.edu>","yes","2018-09-14","1.9-8","quadprog, mvtnorm",NA,"ChangeLog",NA,NA,"http://bobby.gramacy.com/r_packages/monomvn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","NetworkChange","Network changepoint analysis for undirected network data. The package implements a hidden Markov multilinear tensor regression model (Park and Sohn, 2017, <http://jhp.snu.ac.kr/NetworkChange.pdf>). Functions for break number detection using the approximate marginal likelihood and WAIC are also provided.","Jong Hee Park [aut,cre], Yunkyu Sohn [aut]",NA,"NetworkChange results","R (≥ 2.10.0)","Bayesian","GPL-3","Jong Hee Park  <jongheepark at snu.ac.kr>","no","2017-08-19","0.3","ggplot2, Rmpfr, abind, mvtnorm, grid, LaplacesDemon, MCMCpack, stats, MASS, methods, RColorBrewer, ggvis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","openEBGM","An implementation of DuMouchel's (1999) <doi:10.1080/00031305.1999.10474456> Bayesian data mining method for the market basket problem. Calculates Empirical Bayes Geometric Mean (EBGM) and quantile scores from the posterior distribution using the Gamma-Poisson Shrinker (GPS) model to find unusually large cell counts in large, sparse contingency tables. Can be used to find unusually high reporting rates of adverse events associated with products. In general, can be used to mine any database where the co-occurrence of two variables or items is of interest. Also calculates relative and proportional reporting ratios. Builds on the work of the 'PhViD' package, from which much of the code is derived. Some of the added features include stratification to adjust for confounding variables and data squashing to improve computational efficiency. Now includes an implementation of the EM algorithm for hyperparameter estimation loosely derived from the 'mederrRank' package.","John Ihrie [cre, aut],
  Travis Canida [aut],
  IsmaÃ¯l Ahmed [ctb] (author of 'PhViD' package (derived code)),
  Antoine Poncet [ctb] (author of 'PhViD'),
  Sergio Venturini [ctb] (author of 'mederrRank' package (derived code)),
  Jessica Myers [ctb] (author of 'mederrRank')","openEBGM citation info","openEBGM results","R (≥ 3.2.3)","Bayesian","GPL-2 | GPL-3","John Ihrie  <John.Ihrie at fda.hhs.gov>","no","2018-08-16","0.7.0","data.table (≥ 1.10.0), ggplot2 (≥ 2.2.1), stats (≥ 3.2.3)",NA,"NEWS","dplyr (≥ 0.5.0), knitr (≥ 1.15.1), rmarkdown (≥ 1.2), testthat (≥ 1.0.2), tidyr (≥ 0.6.0)",NA,"https://journal.r-project.org/archive/2017/RJ-2017-063/index.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","pacbpred","This package is intended to perform estimation and prediction in high-dimensional additive models, using a sparse PAC-Bayesian point of view and a MCMC algorithm. The method is fully described in Guedj and Alquier (2013), 'PAC-Bayesian Estimation and Prediction in Sparse Additive Models', Electronic Journal of Statistics, 7, 264–291.","Benjamin Guedj","pacbpred citation info","pacbpred results",NA,"Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Benjamin Guedj  <benjamin.guedj at upmc.fr>","no","2013-02-05","0.92.2",NA,NA,NA,NA,NA,"http://www.lsta.upmc.fr/doct/guedj/index.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","PAWL","Implementation of the Parallel Adaptive Wang-Landau algorithm. Also implemented for comparison: parallel adaptive Metropolis-Hastings,SMC sampler.","Luke Bornn, Pierre E. Jacob",NA,"PAWL results","methods, mvtnorm, foreach, reshape, ggplot2","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Pierre Jacob  <pierre.jacob.work at gmail.com>","yes","2012-11-15","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","predmixcor","""train_predict_mix"" predicts the binary response with binary features","Longhai Li",NA,"predmixcor results","R (≥ 1.5.0)","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Longhai Li  <longhai at math.usask.ca>","no","2012-10-29","1.1-1",NA,NA,NA,NA,NA,"http://www.r-project.org, http://math.usask.ca/~longhai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","PReMiuM","Bayesian clustering using a Dirichlet process mixture model. This model is an alternative to regression models, non-parametrically linking a response vector to covariate data through cluster membership. The package allows Bernoulli, Binomial, Poisson, Normal, survival and categorical response, as well as Normal and discrete covariates. It also allows for fixed effects in the response model, where a spatial CAR (conditional autoregressive) term can be also included. Additionally, predictions may be made for the response, and missing values for the covariates are handled. Several samplers and label switching moves are implemented along with diagnostic tools to assess convergence. A number of R functions for post-processing of the output are also provided. In addition to fitting mixtures, it may additionally be of interest to determine which covariates actively drive the mixture components. This is implemented in the package as variable selection. The main reference for the package is Liverani, Hastie, Azizi, Papathomas and Richardson (2015) <doi:10.18637/jss.v064.i07>.","David I. Hastie, Silvia Liverani and Sylvia Richardson with contributions from Aurore J. Lavigne, Lucy Leigh, Lamiae Azizi, Xi Liu, Ruizhu Huang, Austin Gratton, Wei Jing","PReMiuM citation info","PReMiuM results","R (≥ 3.4.0)","Bayesian, Cluster, Spatial, Survival","GPL-2","Silvia Liverani  <liveranis at gmail.com>","yes","2018-09-26","3.2.1","Rcpp (≥ 0.12.13), ggplot2 (≥ 2.2), cluster, plotrix (≥
3.6-6), gamlss.dist (≥ 4.3-1), ald (≥ 1.1), data.table (≥
1.10.4-3), spdep (≥ 0.7-7), rgdal (≥ 1.3-3)","Rcpp, RcppEigen (≥ 0.3.3.3.0), BH (≥ 1.65.0-1)","ChangeLog","testthat (≥ 1.0.2)","GNU make","http://www.silvialiverani.com/software/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","prevalence","The prevalence package provides Frequentist and Bayesian methods for prevalence assessment studies. IMPORTANT: the truePrev functions in the prevalence package call on JAGS (Just Another Gibbs Sampler), which therefore has to be available on the user's system. JAGS can be downloaded from http://mcmc-jags.sourceforge.net/.","Brecht Devleesschauwer [aut, cre],
  Paul Torgerson [aut],
  Johannes Charlier [aut],
  Bruno Levecke [aut],
  Nicolas Praet [aut],
  Sophie Roelandt [aut],
  Suzanne Smit [aut],
  Pierre Dorny [aut],
  Dirk Berkvens [aut],
  Niko Speybroeck [aut]","prevalence citation info","prevalence results","R (≥ 3.0.0), rjags, coda, methods","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Brecht Devleesschauwer  <brechtdv at gmail.com>","no","2015-04-20","0.4.0",NA,NA,"NEWS",NA,"JAGS (>= 3.2.0) (see
http://mcmc-jags.sourceforge.net)","http://prevalence.cbra.be/","https://github.com/brechtdv/prevalence/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA
